X;Y;raw mag data (nT);local field data (nT);corrected mag data (nT)
0;0;45501,35;45500,05;
0;0,5;45494,94;45500,22;
0;1;45495,65;45498,79;
0;1,5;45492,69;45500,04;
0;2;45500,81;45500,18;
0;2,5;45506,82;45499,96;
0;3;45510,27;45501,18;
0;3,5;45499,71;45499,85;
0;4;45507,74;45501;
0;4,5;45500,76;45499,17;
0;5;45492,93;45500,58;
0;5,5;45505,09;45499,77;
0;6;45496,25;45501,03;
0;6,5;45498,32;45500,91;
0;7;45507,54;45500,53;
0;7,5;45502,76;45500,89;
0;8;45504,8;45498,55;
0;8,5;45506,66;45498,71;
0;9;45494,88;45500,87;
0;9,5;45493,27;45499,31;
0;10;45505,99;45501,02;
0;10,5;45503,03;45498,82;
0;11;45497,89;45501,38;
0;11,5;45495,2;45499,83;
0;12;45496,27;45500,29;
0;12,5;45505,63;45500,17;
0;13;45509,61;45499,33;
0;13,5;45516,93;45500,81;
0;14;45521,8;45501,23;
0;14,5;45516,3;45498,82;
0;15;45519,43;45500,42;
0;15,5;45505,64;45500,07;
0;16;45499,67;45500,05;
0;16,5;45499,42;45498,74;
0;17;45506,09;45498,68;
0;17,5;45498,01;45500,93;
0;18;45492,06;45501,33;
0;18,5;45501,19;45500,47;
0;19;45498,78;45500,44;
0;19,5;45492,5;45501,18;
0;20;45492,8;45500,15;
0;20,5;45499,32;45500,44;
0;21;45493,1;45498,99;
0;21,5;45509,01;45499,91;
0;22;45494;45500,68;
0;22,5;45489,07;45499,02;
0;23;45505,38;45500,55;
0;23,5;45500,14;45501,33;
0;24;45500,62;45500,71;
0;24,5;45509,33;45500,41;
0;25;45504,24;45500,77;
0;25,5;45502;45500,69;
0;26;45493,1;45500,58;
0;26,5;45498,03;45501,48;
0;27;45506,69;45499,96;
0;27,5;45507,81;45499,88;
0;28;45495,56;45499,84;
-0,5;0;45492,87;45499,2;
-0,5;0,5;45493,95;45499,45;
-0,5;1;45507,35;45500,64;
-0,5;1,5;45496,21;45499,22;
-0,5;2;45493,88;45500,85;
-0,5;2,5;45498,17;45501,32;
-0,5;3;45505,1;45499,63;
-0,5;3,5;45490,17;45500,05;
-0,5;4;45500,34;45500,35;
-0,5;4,5;45492,01;45500,59;
-0,5;5;45492,15;45500,14;
-0,5;5,5;45496,96;45499,08;
-0,5;6;45498,68;45498,59;
-0,5;6,5;45493,31;45499,71;
-0,5;7;45505,9;45498,57;
-0,5;7,5;45504,57;45498,61;
-0,5;8;45508,11;45500,6;
-0,5;8,5;45502,47;45501,27;
-0,5;9;45496,16;45500,08;
-0,5;9,5;45508,06;45501,5;
-0,5;10;45493,15;45500,87;
-0,5;10,5;45510,69;45499,04;
-0,5;11;45505,41;45499,91;
-0,5;11,5;45511,84;45499,82;
-0,5;12;45516,18;45499,66;
-0,5;12,5;45505,87;45498,75;
-0,5;13;45523,77;45498,74;
-0,5;13,5;45527,37;45500,72;
-0,5;14;45529,71;45501,11;
-0,5;14,5;45532,04;45500,01;
-0,5;15;45512,93;45498,71;
-0,5;15,5;45516,95;45501,31;
-0,5;16;45502,87;45501,03;
-0,5;16,5;45506,29;45501,23;
-0,5;17;45512,96;45501,32;
-0,5;17,5;45505,9;45499,2;
-0,5;18;45503,9;45500,13;
-0,5;18,5;45493,9;45499,54;
-0,5;19;45492,27;45499,12;
-0,5;19,5;45489,7;45499,05;
-0,5;20;45504,97;45499,99;
-0,5;20,5;45509,38;45501,4;
-0,5;21;45504,29;45500,9;
-0,5;21,5;45491,54;45499;
-0,5;22;45500,36;45500,36;
-0,5;22,5;45500,36;45499,36;
-0,5;23;45509,09;45500,38;
-0,5;23,5;45498,49;45498,65;
-0,5;24;45495,12;45500,46;
-0,5;24,5;45492,16;45499,41;
-0,5;25;45505,65;45498,65;
-0,5;25,5;45499,65;45500,27;
-0,5;26;45504,54;45499,8;
-0,5;26,5;45497,07;45498,96;
-0,5;27;45500,84;45499,82;
-0,5;27,5;45502,25;45500,07;
-0,5;28;45496,98;45499,51;
-1;0;45497,88;45499,15;
-1;0,5;45508,26;45498,81;
-1;1;45499,23;45500;
-1;1,5;45495,94;45500,19;
-1;2;45504,24;45499,41;
-1;2,5;45495,5;45500,92;
-1;3;45509,01;45499,06;
-1;3,5;45501,4;45498,9;
-1;4;45497,1;45500,79;
-1;4,5;45503,72;45499,28;
-1;5;45506,58;45498,79;
-1;5,5;45506,32;45498,76;
-1;6;45502,9;45500,55;
-1;6,5;45506,58;45498,61;
-1;7;45491,01;45499,66;
-1;7,5;45497,96;45499,99;
-1;8;45503,68;45499,14;
-1;8,5;45501,23;45500,57;
-1;9;45503,9;45498,85;
-1;9,5;45502,21;45500,45;
-1;10;45509,08;45501,09;
-1;10,5;45502,9;45500,61;
-1;11;45512,4;45498,99;
-1;11,5;45504,37;45499,23;
-1;12;45516,36;45499,48;
-1;12,5;45534,37;45499,89;
-1;13;45544,45;45498,53;
-1;13,5;45554,22;45499,08;
-1;14;45545,82;45501,16;
-1;14,5;45552,78;45498,5;
-1;15;45539,77;45498,67;
-1;15,5;45525,32;45498,54;
-1;16;45523,23;45499,98;
-1;16,5;45514,44;45498,85;
-1;17;45506,85;45499,17;
-1;17,5;45509,63;45501,45;
-1;18;45507,37;45499,65;
-1;18,5;45495,64;45498,58;
-1;19;45496,44;45500,48;
-1;19,5;45507,27;45498,72;
-1;20;45496,68;45499,68;
-1;20,5;45502,23;45501,45;
-1;21;45489,46;45498,88;
-1;21,5;45498,23;45500,23;
-1;22;45490,9;45499,83;
-1;22,5;45502,76;45499,46;
-1;23;45495,49;45499,88;
-1;23,5;45497,61;45500,95;
-1;24;45500,08;45500,54;
-1;24,5;45510,24;45500,6;
-1;25;45502,24;45501,37;
-1;25,5;45507,63;45499,35;
-1;26;45508,97;45500,59;
-1;26,5;45504,26;45501,43;
-1;27;45499,74;45501,29;
-1;27,5;45489,75;45498,84;
-1;28;45500,27;45498,69;
-1,5;0;45501,44;45498,52;
-1,5;0,5;45507,95;45500,88;
-1,5;1;45509,2;45500,39;
-1,5;1,5;45495,54;45498,91;
-1,5;2;45491,43;45500,9;
-1,5;2,5;45505,73;45500,69;
-1,5;3;45497,96;45501,03;
-1,5;3,5;45498,65;45498,54;
-1,5;4;45506,37;45499,18;
-1,5;4,5;45498,55;45500,52;
-1,5;5;45496,16;45501,24;
-1,5;5,5;45497,88;45499,11;
-1,5;6;45505,29;45500,32;
-1,5;6,5;45495,52;45500,88;
-1,5;7;45490,83;45498,69;
-1,5;7,5;45498,6;45498,5;
-1,5;8;45506,12;45498,78;
-1,5;8,5;45502,41;45500,46;
-1,5;9;45496,3;45501,03;
-1,5;9,5;45505,38;45501,06;
-1,5;10;45511,24;45498,51;
-1,5;10,5;45499,35;45500,16;
-1,5;11;45515,38;45499,7;
-1,5;11,5;45516,64;45499,46;
-1,5;12;45531,6;45500,46;
-1,5;12,5;45560,8;45499,61;
-1,5;13;45575,63;45499,96;
-1,5;13,5;45581,71;45499,31;
-1,5;14;45583,14;45499,85;
-1,5;14,5;45588,6;45499,19;
-1,5;15;45571,15;45500,45;
-1,5;15,5;45558,45;45500,31;
-1,5;16;45533,63;45501,24;
-1,5;16,5;45517,85;45501,31;
-1,5;17;45520,2;45498,84;
-1,5;17,5;45511,83;45501,47;
-1,5;18;45502,92;45500,49;
-1,5;18,5;45497,13;45500,31;
-1,5;19;45506,3;45499,47;
-1,5;19,5;45498,18;45499,04;
-1,5;20;45496,59;45498,52;
-1,5;20,5;45493,67;45500,77;
-1,5;21;45510,15;45501,34;
-1,5;21,5;45505,45;45501,15;
-1,5;22;45493,3;45499,22;
-1,5;22,5;45498,68;45500,35;
-1,5;23;45504,39;45500,95;
-1,5;23,5;45490,29;45499,52;
-1,5;24;45502,79;45499,9;
-1,5;24,5;45498,28;45498,76;
-1,5;25;45505,43;45499,12;
-1,5;25,5;45501,31;45501,16;
-1,5;26;45491,48;45501,08;
-1,5;26,5;45499,4;45498,91;
-1,5;27;45500,03;45500,03;
-1,5;27,5;45496,65;45500,44;
-1,5;28;45508,29;45501,04;
-2;0;45502,87;45500,23;
-2;0,5;45508,17;45500,36;
-2;1;45495,02;45500,84;
-2;1,5;45508,21;45501,05;
-2;2;45494,11;45498,84;
-2;2,5;45499,08;45500,06;
-2;3;45501,92;45500,02;
-2;3,5;45497,54;45499,13;
-2;4;45503,69;45499,14;
-2;4,5;45490,84;45500,01;
-2;5;45508,16;45500,42;
-2;5,5;45508,95;45499,99;
-2;6;45501,16;45500,01;
-2;6,5;45501,36;45499,36;
-2;7;45505,52;45498,84;
-2;7,5;45490,83;45499,77;
-2;8;45500,17;45500,48;
-2;8,5;45504,62;45500,78;
-2;9;45499,5;45499,83;
-2;9,5;45499,64;45499,72;
-2;10;45504,79;45501,01;
-2;10,5;45502,93;45499,67;
-2;11;45518,3;45499,36;
-2;11,5;45540,58;45499,8;
-2;12;45555,75;45498,88;
-2;12,5;45577,8;45498,91;
-2;13;45601,69;45500,07;
-2;13,5;45631,34;45498,89;
-2;14;45629,5;45501,09;
-2;14,5;45637;45500,14;
-2;15;45616,06;45500,55;
-2;15,5;45590,73;45499,45;
-2;16;45567,68;45498,65;
-2;16,5;45533,13;45500,59;
-2;17;45531,41;45500,03;
-2;17,5;45509,23;45499,28;
-2;18;45514,15;45499,53;
-2;18,5;45510,16;45499,02;
-2;19;45500,67;45498,8;
-2;19,5;45500,86;45499,62;
-2;20;45494,94;45499,37;
-2;20,5;45502,14;45499,82;
-2;21;45500,59;45498,96;
-2;21,5;45496,29;45501,07;
-2;22;45510,25;45501,47;
-2;22,5;45494,25;45500,07;
-2;23;45502,55;45500,69;
-2;23,5;45499,85;45500,74;
-2;24;45504,06;45500,12;
-2;24,5;45495,41;45500,74;
-2;25;45493,3;45498,82;
-2;25,5;45507,77;45501,16;
-2;26;45494,93;45500,71;
-2;26,5;45508,3;45500,54;
-2;27;45494,79;45500,28;
-2;27,5;45503,06;45499,6;
-2;28;45510,6;45501,01;
-2,5;0;45490,7;45499,28;
-2,5;0,5;45501,02;45499,01;
-2,5;1;45509,58;45500,04;
-2,5;1,5;45506,56;45498,83;
-2,5;2;45494,42;45501,29;
-2,5;2,5;45495,15;45498,75;
-2,5;3;45511,45;45501,46;
-2,5;3,5;45510,51;45500,78;
-2,5;4;45491,31;45499,12;
-2,5;4,5;45504,93;45500,94;
-2,5;5;45505,08;45501,22;
-2,5;5,5;45504,54;45499,01;
-2,5;6;45502,04;45499,26;
-2,5;6,5;45495,72;45499,55;
-2,5;7;45495,4;45498,59;
-2,5;7,5;45502,32;45498,81;
-2,5;8;45498,32;45501,36;
-2,5;8,5;45508,1;45501,27;
-2,5;9;45510,78;45500,73;
-2,5;9,5;45506,83;45500,98;
-2,5;10;45514,48;45498,82;
-2,5;10,5;45517,15;45499,37;
-2,5;11;45539,84;45500,98;
-2,5;11,5;45547,02;45498,63;
-2,5;12;45589,78;45498,59;
-2,5;12,5;45622,64;45501,07;
-2,5;13;45648,33;45499,28;
-2,5;13,5;45675,01;45501,24;
-2,5;14;45683,21;45500,21;
-2,5;14,5;45683,11;45499,46;
-2,5;15;45661,36;45498,64;
-2,5;15,5;45629,5;45500,91;
-2,5;16;45584,53;45500,03;
-2,5;16,5;45550,06;45501,31;
-2,5;17;45535,35;45499,18;
-2,5;17,5;45523,76;45501,01;
-2,5;18;45514,53;45499,56;
-2,5;18,5;45504,66;45499,09;
-2,5;19;45502,12;45498,86;
-2,5;19,5;45494,25;45499,55;
-2,5;20;45493,23;45499,74;
-2,5;20,5;45491,3;45500,32;
-2,5;21;45500,06;45501,01;
-2,5;21,5;45504,61;45500,52;
-2,5;22;45501,28;45498,8;
-2,5;22,5;45505,15;45499,75;
-2,5;23;45501,69;45499,27;
-2,5;23,5;45497,2;45500,55;
-2,5;24;45494,85;45500,41;
-2,5;24,5;45501,62;45500,19;
-2,5;25;45497,84;45498,82;
-2,5;25,5;45493,14;45500,13;
-2,5;26;45505,65;45498,99;
-2,5;26,5;45498,65;45499,52;
-2,5;27;45509,21;45499,53;
-2,5;27,5;45497,41;45500,41;
-2,5;28;45503,79;45500,32;
-3;0;45506,26;45500,99;
-3;0,5;45503,25;45500,46;
-3;1;45504,6;45499,04;
-3;1,5;45494,44;45500,68;
-3;2;45497,44;45498,73;
-3;2,5;45498,94;45500,19;
-3;3;45507,77;45501;
-3;3,5;45492,74;45499,87;
-3;4;45502,06;45501,21;
-3;4,5;45494,66;45500,87;
-3;5;45490,18;45499,91;
-3;5,5;45507,26;45499,15;
-3;6;45506,27;45500,67;
-3;6,5;45502,22;45498,66;
-3;7;45498,48;45501,26;
-3;7,5;45493,17;45498,54;
-3;8;45492,61;45498,56;
-3;8,5;45503,41;45501,39;
-3;9;45497,99;45500,4;
-3;9,5;45505,94;45498,74;
-3;10;45511,56;45500,76;
-3;10,5;45512,74;45501,47;
-3;11;45540,9;45500,12;
-3;11,5;45575,04;45499,66;
-3;12;45608,04;45498,78;
-3;12,5;45656,43;45500,54;
-3;13;45707,98;45500,97;
-3;13,5;45726,31;45499,63;
-3;14;45742,24;45498,97;
-3;14,5;45727,12;45499,3;
-3;15;45696,47;45499,77;
-3;15,5;45657,93;45499,47;
-3;16;45614,17;45500,44;
-3;16,5;45574,95;45501,42;
-3;17;45549,77;45500,65;
-3;17,5;45517,33;45500,63;
-3;18;45512,13;45499,83;
-3;18,5;45503,68;45500,86;
-3;19;45510,66;45500,67;
-3;19,5;45510,48;45500,12;
-3;20;45507,56;45500,88;
-3;20,5;45498,92;45498,74;
-3;21;45504,22;45501,37;
-3;21,5;45503,06;45499,43;
-3;22;45506,88;45498,67;
-3;22,5;45507,62;45499,2;
-3;23;45504,15;45500,09;
-3;23,5;45509,53;45501,48;
-3;24;45492,56;45500,98;
-3;24,5;45502,56;45501,35;
-3;25;45507,31;45499,39;
-3;25,5;45499,1;45501,36;
-3;26;45502,84;45498,95;
-3;26,5;45502,63;45500,8;
-3;27;45491,82;45498,76;
-3;27,5;45499,65;45501;
-3;28;45499,12;45500,82;
-3,5;0;45509,21;45499,94;
-3,5;0,5;45493,61;45500,54;
-3,5;1;45493,58;45498,85;
-3,5;1,5;45501,02;45501,25;
-3,5;2;45496,06;45501,03;
-3,5;2,5;45492,66;45498,68;
-3,5;3;45494,72;45500,64;
-3,5;3,5;45492,33;45501,45;
-3,5;4;45496,23;45500,09;
-3,5;4,5;45491,52;45499,31;
-3,5;5;45496,26;45500,95;
-3,5;5,5;45501,12;45500,95;
-3,5;6;45508,75;45500,81;
-3,5;6,5;45507,19;45499,53;
-3,5;7;45491,11;45500,27;
-3,5;7,5;45493,45;45499,9;
-3,5;8;45506,75;45500,53;
-3,5;8,5;45509,47;45499,37;
-3,5;9;45492,91;45498,66;
-3,5;9,5;45504,63;45498,71;
-3,5;10;45512,15;45499,97;
-3,5;10,5;45526,99;45500,55;
-3,5;11;45537,15;45499,02;
-3,5;11,5;45583,03;45498,72;
-3,5;12;45636,27;45501,1;
-3,5;12,5;45676,51;45498,55;
-3,5;13;45730,34;45500,5;
-3,5;13,5;45781,82;45501,48;
-3,5;14;45781,72;45498,87;
-3,5;14,5;45761,73;45499,69;
-3,5;15;45733,64;45501,13;
-3,5;15,5;45692,37;45500,88;
-3,5;16;45623,82;45500,2;
-3,5;16,5;45589,38;45500,25;
-3,5;17;45549,53;45500,67;
-3,5;17,5;45515,94;45501,23;
-3,5;18;45510,5;45499,66;
-3,5;18,5;45506,6;45501,04;
-3,5;19;45506,57;45500,03;
-3,5;19,5;45506,93;45500,89;
-3,5;20;45488,91;45498,53;
-3,5;20,5;45503,13;45498,53;
-3,5;21;45492,23;45499,88;
-3,5;21,5;45495,69;45498,8;
-3,5;22;45509,15;45499,63;
-3,5;22,5;45496,22;45501,06;
-3,5;23;45491,72;45499,6;
-3,5;23,5;45490,08;45499,96;
-3,5;24;45491,3;45499,27;
-3,5;24,5;45503,13;45501,49;
-3,5;25;45493,72;45500,26;
-3,5;25,5;45491,78;45499,21;
-3,5;26;45497,29;45501,4;
-3,5;26,5;45492,79;45499,09;
-3,5;27;45503,78;45499,03;
-3,5;27,5;45509,05;45500,67;
-3,5;28;45503,5;45499,04;
-4;0;45493,34;45501,16;
-4;0,5;45500,17;45500,67;
-4;1;45501,48;45499,39;
-4;1,5;45502,98;45499,5;
-4;2;45499,26;45500,5;
-4;2,5;45490,02;45499,42;
-4;3;45490,4;45498,7;
-4;3,5;45489,77;45499,13;
-4;4;45503,11;45499,96;
-4;4,5;45498,1;45500,09;
-4;5;45508,6;45499,16;
-4;5,5;45505,74;45500,28;
-4;6;45502,29;45499,87;
-4;6,5;45493,51;45500,66;
-4;7;45507,5;45499,84;
-4;7,5;45494,09;45499,04;
-4;8;45503,55;45501,38;
-4;8,5;45503,35;45499,47;
-4;9;45511,12;45499,89;
-4;9,5;45511,24;45498,6;
-4;10;45509,88;45500,72;
-4;10,5;45521,46;45500,4;
-4;11;45541,96;45500,49;
-4;11,5;45588,4;45498,7;
-4;12;45626,21;45500,39;
-4;12,5;45696,46;45500,83;
-4;13;45748,54;45499,84;
-4;13,5;45779,36;45499,63;
